gpu_name,cpu_name,demand_score,resolution,preset,ray_tracing,rt_quality,upscaling,upscaling_quality,engine,game,gpu_key,cpu_key,avg_fps
RTX 2070,Ryzen 7 5800H,7.0,2560x1440,Ultra,False,None,None,None,RAGE,Red Dead Redemption 2,rtx2070,ryzen75800h,7.9
RTX 4060,Ryzen 3 1200,6.5,1920x1080,High,False,None,FSR,Performance,Creation Engine 2,Starfield,rtx4060,ryzen31200,42.1
RX 7900 XT,Ryzen 7 5700U,1.6,2560x1440,Low,False,None,None,None,Custom,Hades,rx7900xt,ryzen75700u,120.6
RTX 2080 SUPER,Ryzen 5 5500U,4.0,2560x1440,Medium,False,None,None,None,id Tech 7,Doom Eternal,rtx2080super,ryzen55500u,26.9
RTX 2080,Ryzen 7 5800H,3.0,3840x2160,Ultra,False,None,None,None,Source,Apex Legends,rtx2080,ryzen75800h,12.0
RTX 5050,Ryzen 5 1600,2.5,1920x1080,Medium,False,None,None,None,Custom,Overwatch 2,rtx5050,ryzen51600,63.6
RX 5600 XT,Ryzen 5 5500U,5.5,3840x2160,Low,False,None,FSR,Balanced,Unreal Engine 4,Ready or Not,rx5600xt,ryzen55500u,18.8
RTX 3070,Ryzen 5 1600,5.5,3840x2160,High,True,High,FSR,Balanced,Unreal Engine 4,Ready or Not,rtx3070,ryzen51600,6.2
RTX 5080,Ryzen 7 5800H,1.8,1280x720,Low,False,None,None,None,Unreal Engine 4,Fall Guys,rtx5080,ryzen75800h,186.2
RTX 4060 Ti 16 GB,Ryzen 5 1600,7.0,2560x1440,Ultra,False,None,FSR,Balanced,RE Engine,Monster Hunter Wilds,rtx4060ti16gb,ryzen51600,15.9
RTX 5090,Ryzen 7 5700G,6.5,2560x1440,Ultra,False,None,FSR,Performance,Unreal Engine 5,ARC Raiders,rtx5090,ryzen75700g,24.8
RTX 5070,Ryzen 5 5500U,4.5,3840x2160,High,False,None,None,None,Custom,Diablo 4,rtx5070,ryzen55500u,12.1
RTX 4070 Ti,Ryzen 5 1600,9.0,1280x720,Medium,False,None,None,None,Northlight,Alan Wake 2,rtx4070ti,ryzen51600,57.2
RTX 4060,Ryzen 7 5700G,5.8,1920x1080,High,False,None,None,None,Insomniac Engine,Spider-Man Remastered,rtx4060,ryzen75700g,24.7
RX 7800 XT,Ryzen 9 3900X,2.0,1280x720,High,False,None,None,None,Custom (Java),Minecraft,rx7800xt,ryzen93900x,183.3
RTX 5060,Ryzen 7 5700U,7.0,2560x1440,Medium,False,None,None,None,RAGE,Red Dead Redemption 2,rtx5060,ryzen75700u,17.8
RTX 4070 Ti SUPER,Ryzen 5 1600,6.8,3840x2160,High,True,High,None,None,Unreal Engine 4,Star Wars Jedi: Survivor,rtx4070tisuper,ryzen51600,3.9
RX 6700 XT,Ryzen 5 1600,9.0,1920x1080,Medium,True,Low,FSR,Balanced,Northlight,Alan Wake 2,rx6700xt,ryzen51600,19.2
GTX 1650 SUPER,Ryzen 5 1600,5.0,2560x1440,High,False,None,None,None,Custom,Total War: Warhammer III,gtx1650super,ryzen51600,12.0
RTX 2070 SUPER,Ryzen 5 5500U,4.2,1280x720,Medium,False,None,FSR,Performance,EGO Engine,F1 24,rtx2070super,ryzen55500u,134.0
GTX 980,Ryzen 3 1200,7.2,1920x1080,High,False,None,None,None,CryEngine,Kingdom Come: Deliverance 2,gtx980,ryzen31200,15.3
GTX 970,Ryzen 7 5700U,5.0,2560x1440,High,False,None,None,None,Divinity Engine 4.0,Baldur's Gate 3,gtx970,ryzen75700u,13.1
RX 6900 XT,Ryzen 5 PRO 5650U,6.0,1920x1080,Ultra,True,Medium,None,None,Unreal Engine 5,The Finals,rx6900xt,ryzen5pro5650u,11.0
RTX 2070 SUPER,Ryzen 9 5950X,5.2,2560x1440,Medium,False,None,None,None,Autodesk Stingray,Helldivers 2,rtx2070super,ryzen95950x,20.7
RX 570,Ryzen 9 5900X,4.8,3840x2160,High,False,None,FSR,Balanced,Unreal Engine 5,Palworld,rx570,ryzen95900x,10.6
RTX 2080,Ryzen 7 5800H,3.0,3840x2160,High,False,None,None,None,Source,Apex Legends,rtx2080,ryzen75800h,15.0
RTX 5060,Ryzen 7 5700U,3.6,1280x720,High,False,None,None,None,Unreal Engine 4,PUBG,rtx5060,ryzen75700u,94.4
RTX 5070 Ti,Ryzen 3 1200,4.0,1280x720,High,True,High,FSR,Balanced,Unreal Engine 5,Fortnite,rtx5070ti,ryzen31200,63.6
RX 6500 XT,Ryzen 3 1200,6.5,2560x1440,Medium,False,None,FSR,Balanced,Unreal Engine 4,Hogwarts Legacy,rx6500xt,ryzen31200,16.7
RTX 4080 SUPER,Ryzen 9 5900X,2.5,1920x1080,High,False,None,None,None,Custom,Civilization VII,rtx4080super,ryzen95900x,78.8
RX 6500 XT,Ryzen 5 PRO 5650U,7.0,1280x720,High,False,None,FSR,Quality,RE Engine,Monster Hunter Wilds,rx6500xt,ryzen5pro5650u,35.6
RTX 2080,Ryzen 7 5800H,1.6,3840x2160,Low,False,None,None,None,Custom,Hades,rtx2080,ryzen75800h,43.5
RTX 2070,Ryzen 5 PRO 5650U,5.0,2560x1440,Medium,False,None,None,None,Custom,Total War: Warhammer III,rtx2070,ryzen5pro5650u,17.5
RTX 3090,Ryzen 7 5700G,2.8,1920x1080,Ultra,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,rtx3090,ryzen75700g,55.5
RTX 5070,Ryzen 9 5900X,5.5,1920x1080,High,True,Medium,FSR,Quality,Frostbite,Battlefield 2042,rtx5070,ryzen95900x,24.1
RTX 3090,Ryzen 7 5700U,3.0,2560x1440,Low,False,None,None,None,Source,Apex Legends,rtx3090,ryzen75700u,66.7
RTX 2080 SUPER,Ryzen 5 1600,7.0,2560x1440,High,True,High,FSR,Quality,RE Engine,Monster Hunter Wilds,rtx2080super,ryzen51600,6.2
GTX 1660,Ryzen 9 3900X,5.0,2560x1440,Medium,False,None,None,None,Divinity Engine 4.0,Baldur's Gate 3,gtx1660,ryzen93900x,16.0
RTX 2080 SUPER,Ryzen 7 5700G,5.2,2560x1440,High,False,None,None,None,Autodesk Stingray,Helldivers 2,rtx2080super,ryzen75700g,15.4
RTX 2080 Ti,Ryzen 5 5500U,1.5,1920x1080,Medium,False,None,None,None,Unreal Engine 4,Valorant,rtx2080ti,ryzen55500u,127.7
RX 6900 XT,Ryzen 5 1600,5.0,1280x720,Medium,False,None,FSR,Balanced,ForzaTech,Forza Horizon 5,rx6900xt,ryzen51600,117.0
RTX 2070 SUPER,Ryzen 9 5900X,8.5,1920x1080,Medium,False,None,None,None,REDengine 4,Cyberpunk 2077,rtx2070super,ryzen95900x,18.4
RTX 3070,Ryzen 5 PRO 5650U,5.2,3840x2160,Medium,False,None,None,None,Autodesk Stingray,Helldivers 2,rtx3070,ryzen5pro5650u,12.7
RX 6800,Ryzen 9 3900X,3.0,2560x1440,Ultra,False,None,None,None,Unreal Engine 4,It Takes Two,rx6800,ryzen93900x,26.9
GTX 1080 Ti,Ryzen 7 5700U,1.6,3840x2160,Medium,False,None,None,None,Custom,Hades,gtx1080ti,ryzen75700u,35.5
GTX 950,Ryzen 9 3900X,3.0,1920x1080,Medium,False,None,None,None,Unreal Engine 4,It Takes Two,gtx950,ryzen93900x,29.1
RTX 3090,Ryzen 3 1200,4.2,3840x2160,Low,True,High,None,None,EGO Engine,F1 24,rtx3090,ryzen31200,10.2
RTX 4080,Ryzen 7 5700G,5.5,1280x720,High,False,None,FSR,Balanced,REDengine 3,The Witcher 3,rtx4080,ryzen75700g,98.3
RTX 2060 SUPER,Ryzen 5 5600G,5.0,1920x1080,Low,False,None,None,None,Custom,Total War: Warhammer III,rtx2060super,ryzen55600g,39.0
GTX 1660 Ti,Ryzen 3 1200,2.2,3840x2160,Medium,False,None,None,None,Custom,Hades II,gtx1660ti,ryzen31200,19.3
GTX 1080 Ti,Ryzen 9 5900X,1.4,2560x1440,Ultra,False,None,None,None,Custom,Sims 4,gtx1080ti,ryzen95900x,46.6
RX 460,Ryzen 9 5900X,2.2,1280x720,High,False,None,None,None,Custom,Hades II,rx460,ryzen95900x,57.9
RTX 4070 Ti,Ryzen 9 5900X,6.5,2560x1440,High,False,None,None,None,Unity,Escape from Tarkov,rtx4070ti,ryzen95900x,18.0
RTX 5070 Ti,Ryzen 7 5800H,8.5,3840x2160,Low,False,None,FSR,Ultra Quality,REDengine 4,Cyberpunk 2077,rtx5070ti,ryzen75800h,13.8
RX 580,Ryzen 7 5700U,9.0,2560x1440,High,False,None,None,None,Northlight,Alan Wake 2,rx580,ryzen75700u,8.1
RTX 4080,Ryzen 7 5800H,6.0,2560x1440,Low,False,None,FSR,Quality,Unreal Engine 5,The Finals,rtx4080,ryzen75800h,42.9
RX 470,Ryzen 7 5800H,5.2,1920x1080,Low,False,None,None,None,Autodesk Stingray,Helldivers 2,rx470,ryzen75800h,31.9
GTX 950,Ryzen 5 5600G,8.2,2560x1440,High,False,None,None,None,Unreal Engine 5,Stalker 2,gtx950,ryzen55600g,4.6
RTX 5050,Ryzen 5 1600,5.5,3840x2160,Low,True,Medium,FSR,Quality,Unreal Engine 4,Ready or Not,rtx5050,ryzen51600,9.5
RTX 5070 Ti,Ryzen 9 3900X,1.2,1280x720,Low,False,None,None,None,Custom,League of Legends,rtx5070ti,ryzen93900x,221.6
RTX 4080,Ryzen 5 1600,4.8,1920x1080,Medium,False,None,None,None,Slipspace,Halo Infinite,rtx4080,ryzen51600,49.4
RTX 2070 SUPER,Ryzen 9 3900X,1.6,1920x1080,High,False,None,None,None,Custom,Hades,rtx2070super,ryzen93900x,82.6
RTX 3070,Ryzen 5 PRO 5650U,6.8,1920x1080,High,False,None,None,None,Unreal Engine 5,Borderlands 4,rtx3070,ryzen5pro5650u,23.3
RTX 5060 Ti 16 GB,Ryzen 5 1600,6.8,3840x2160,High,True,High,FSR,Performance,Unreal Engine 4,Star Wars Jedi: Survivor,rtx5060ti16gb,ryzen51600,6.4
RX 6800,Ryzen 7 5800H,3.0,1920x1080,High,False,None,None,None,Custom,World of Warcraft,rx6800,ryzen75800h,54.5
GTX 1660,Ryzen 5 5600G,1.8,3840x2160,High,False,None,None,None,Unreal Engine 4,Fall Guys,gtx1660,ryzen55600g,18.4
GTX 1080,Ryzen 5 PRO 5650U,5.5,3840x2160,Medium,False,None,None,None,REDengine 3,The Witcher 3,gtx1080,ryzen5pro5650u,10.4
RTX 3090,Ryzen 5 5500U,2.5,2560x1440,Ultra,False,None,None,None,Custom,Overwatch 2,rtx3090,ryzen55500u,35.4
RTX 5060,Ryzen 7 5700G,4.8,1280x720,Ultra,False,None,None,None,Slipspace,Halo Infinite,rtx5060,ryzen75700g,45.4
RX 7900 GRE,Ryzen 9 3900X,8.2,3840x2160,Ultra,False,None,FSR,Balanced,Unreal Engine 5,Stalker 2,rx7900gre,ryzen93900x,9.1
GTX 1080 Ti,Ryzen 5 1600,5.5,2560x1440,High,False,None,FSR,Balanced,REDengine 3,The Witcher 3,gtx1080ti,ryzen51600,26.9
RX 580,Ryzen 7 5700G,3.0,1280x720,Medium,False,None,None,None,Unreal Engine 4,It Takes Two,rx580,ryzen75700g,96.4
GTX 1630,Ryzen 7 5700G,6.0,1280x720,Medium,False,None,FSR,Performance,Unreal Engine 5,The Finals,gtx1630,ryzen75700g,46.3
RTX 2080 Ti,Ryzen 9 3900X,4.8,1920x1080,High,False,None,None,None,Unreal Engine 5,Palworld,rtx2080ti,ryzen93900x,31.3
RX 9070 XT,Ryzen 9 5900X,3.0,2560x1440,Medium,False,None,None,None,Source,Apex Legends,rx9070xt,ryzen95900x,50.3
GTX 1070 Ti,Ryzen 7 5800H,1.8,2560x1440,Low,False,None,None,None,Unreal Engine 4,Fall Guys,gtx1070ti,ryzen75800h,71.8
RX 7700 XT,Ryzen 9 5950X,7.0,1920x1080,Medium,True,Low,FSR,Balanced,RE Engine,Monster Hunter Wilds,rx7700xt,ryzen95950x,37.2
RX 480,Ryzen 7 5700G,1.8,1280x720,Low,False,None,None,None,Unreal Engine 4,Fall Guys,rx480,ryzen75700g,177.7
RTX 5070,Ryzen 3 1200,4.0,3840x2160,High,False,None,None,None,id Tech 7,Doom Eternal,rtx5070,ryzen31200,15.7
RTX 3050 6 GB,Ryzen 5 1600,2.2,2560x1440,Ultra,False,None,None,None,Source 2,Dota 2,rtx30506gb,ryzen51600,24.0
GTX 1080,Ryzen 9 5950X,4.5,1920x1080,High,False,None,FSR,Performance,IW Engine,Call of Duty: MW3,gtx1080,ryzen95950x,53.3
GTX 1050 Ti,Ryzen 9 3900X,7.0,1920x1080,Medium,False,None,FSR,Performance,RE Engine,Monster Hunter Wilds,gtx1050ti,ryzen93900x,21.5
RTX 4060,Ryzen 9 5900X,4.0,1920x1080,Ultra,False,None,FSR,Performance,Unreal Engine 5,Fortnite,rtx4060,ryzen95900x,49.6
GTX 1660 Ti,Ryzen 7 5800H,3.0,2560x1440,High,False,None,None,None,Custom,World of Warcraft,gtx1660ti,ryzen75800h,21.9
RTX 4070 Ti SUPER,Ryzen 5 5500U,2.2,3840x2160,Ultra,False,None,None,None,Source 2,Dota 2,rtx4070tisuper,ryzen55500u,25.6
RTX 4080,Ryzen 5 PRO 5650U,2.8,3840x2160,Ultra,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,rtx4080,ryzen5pro5650u,17.2
Arc B580,Ryzen 5 5500U,6.5,1920x1080,High,False,None,FSR,Balanced,Creation Engine 2,Starfield,arcb580,ryzen55500u,32.0
RX 6900 XT,Ryzen 7 5700G,1.6,1280x720,Medium,False,None,None,None,Unreal Engine 3,Rocket League,rx6900xt,ryzen75700g,198.9
RTX 4070 Ti,Ryzen 9 5950X,1.5,2560x1440,Ultra,False,None,None,None,Unreal Engine 4,Valorant,rtx4070ti,ryzen95950x,61.5
RTX 5060,Ryzen 7 5700U,7.0,3840x2160,Ultra,True,Medium,FSR,Balanced,RE Engine,Monster Hunter Wilds,rtx5060,ryzen75700u,4.6
RTX 2080 Ti,Ryzen 5 5600G,1.4,3840x2160,High,False,None,None,None,Custom,Sims 4,rtx2080ti,ryzen55600g,34.7
RTX 5090,Ryzen 5 PRO 5650U,6.5,1280x720,Low,False,None,None,None,Unreal Engine 4,Hogwarts Legacy,rtx5090,ryzen5pro5650u,95.0
RTX 3090 Ti,Ryzen 3 1200,9.0,2560x1440,High,True,Medium,FSR,Performance,Northlight,Alan Wake 2,rtx3090ti,ryzen31200,11.4
RX 7900 GRE,Ryzen 7 5700G,8.2,1280x720,High,False,None,FSR,Balanced,Unreal Engine 5,Stalker 2,rx7900gre,ryzen75700g,66.7
GTX 1070 Ti,Ryzen 7 5800H,5.0,3840x2160,Medium,False,None,FSR,Balanced,RE Engine,Resident Evil 4 Remake,gtx1070ti,ryzen75800h,15.8
RTX 2080,Ryzen 3 1200,2.2,2560x1440,High,False,None,None,None,Custom,Hades II,rtx2080,ryzen31200,34.5
GTX 980,Ryzen 9 5900X,5.0,2560x1440,Low,False,None,None,None,ForzaTech,Forza Horizon 5,gtx980,ryzen95900x,20.6
RTX 3070,Ryzen 7 5800H,4.5,1920x1080,High,True,High,FSR,Balanced,IW Engine,Call of Duty: MW3,rtx3070,ryzen75800h,24.9
RX 6900 XT,Ryzen 3 1200,1.8,1280x720,Ultra,False,None,None,None,Source 2,CS2,rx6900xt,ryzen31200,109.9
RX 5600 XT,Ryzen 7 5700U,5.0,1920x1080,Medium,False,None,None,None,Divinity Engine 4.0,Baldur's Gate 3,rx5600xt,ryzen75700u,29.2
RTX 2080 SUPER,Ryzen 7 5700G,5.0,1920x1080,Medium,False,None,None,None,RE Engine,Resident Evil 4 Remake,rtx2080super,ryzen75700g,34.3
RTX 4060 Ti 16 GB,Ryzen 3 1200,1.5,1280x720,Medium,False,None,None,None,Unreal Engine 4,Valorant,rtx4060ti16gb,ryzen31200,98.6
GTX 1660 Ti,Ryzen 5 PRO 5650U,4.5,3840x2160,High,False,None,FSR,Performance,IW Engine,Call of Duty: MW3,gtx1660ti,ryzen5pro5650u,13.6
RX 5500 XT,Ryzen 5 5600G,6.8,2560x1440,Ultra,False,None,FSR,Performance,Unreal Engine 5,Borderlands 4,rx5500xt,ryzen55600g,12.7
RTX 4090,Ryzen 5 5600G,4.5,1920x1080,High,True,Medium,None,None,Unreal Engine 5,Marvel Rivals,rtx4090,ryzen55600g,23.3
GTX 1660 Ti,Ryzen 9 5900X,5.8,3840x2160,Medium,False,None,None,None,Insomniac Engine,Spider-Man Remastered,gtx1660ti,ryzen95900x,7.5
GTX 970,Ryzen 5 5600G,5.5,3840x2160,High,False,None,None,None,Frostbite,Battlefield 2042,gtx970,ryzen55600g,5.6
GTX 750 Ti,Ryzen 5 5500U,5.0,2560x1440,High,False,None,FSR,Performance,RE Engine,Resident Evil 4 Remake,gtx750ti,ryzen55500u,13.0
GTX 1660 Ti,Ryzen 3 1200,4.5,3840x2160,High,False,None,FSR,Quality,IW Engine,Call of Duty: MW3,gtx1660ti,ryzen31200,9.2
RX 6900 XT,Ryzen 9 5950X,7.0,1920x1080,Ultra,True,Low,None,None,RE Engine,Monster Hunter Wilds,rx6900xt,ryzen95950x,13.4
RTX 5070 Ti,Ryzen 5 5600G,6.5,3840x2160,Medium,False,None,None,None,Unity,Escape from Tarkov,rtx5070ti,ryzen55600g,13.9
GTX 1660 SUPER,Ryzen 5 5500U,2.5,1280x720,Medium,False,None,None,None,Custom,Civilization VII,gtx1660super,ryzen55500u,103.3
GTX 1660,Ryzen 5 1600,3.0,2560x1440,High,False,None,None,None,Custom,World of Warcraft,gtx1660,ryzen51600,21.3
RTX 2070,Ryzen 7 5800H,4.5,2560x1440,High,False,None,FSR,Quality,Custom,Anno 117: Pax Romana,rtx2070,ryzen75800h,22.0
RTX 2070 SUPER,Ryzen 5 1600,1.8,3840x2160,Medium,False,None,None,None,Source 2,CS2,rtx2070super,ryzen51600,29.7
GTX 980 Ti,Ryzen 9 5900X,6.8,1920x1080,Ultra,False,None,FSR,Balanced,Unreal Engine 5,Borderlands 4,gtx980ti,ryzen95900x,16.9
GTX 980 Ti,Ryzen 7 5800H,2.8,1280x720,Medium,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,gtx980ti,ryzen75800h,95.8
RX 7900 GRE,Ryzen 9 5900X,4.0,1280x720,Low,False,None,None,None,id Tech 7,Doom Eternal,rx7900gre,ryzen95900x,146.3
RTX 5080,Ryzen 5 PRO 5650U,2.5,1920x1080,Low,False,None,None,None,Custom,Overwatch 2,rtx5080,ryzen5pro5650u,120.6
GTX 1080 Ti,Ryzen 9 5900X,1.2,1280x720,Medium,False,None,None,None,Custom,League of Legends,gtx1080ti,ryzen95900x,227.0
RTX 3070,Ryzen 9 3900X,4.0,2560x1440,Ultra,False,None,None,None,Dagor Engine,War Thunder,rtx3070,ryzen93900x,18.7
GTX 980 Ti,Ryzen 5 1600,1.6,1280x720,Ultra,False,None,None,None,Custom,Hades,gtx980ti,ryzen51600,97.6
RTX 3070,Ryzen 9 5950X,4.0,1920x1080,High,True,Medium,FSR,Performance,Unreal Engine 5,Fortnite,rtx3070,ryzen95950x,38.3
GTX 1050 Ti,Ryzen 5 5600G,5.0,1280x720,Ultra,False,None,None,None,Divinity Engine 4.0,Baldur's Gate 3,gtx1050ti,ryzen55600g,19.7
RTX 3050 6 GB,Ryzen 9 5900X,4.5,1280x720,High,True,Medium,None,None,IW Engine,Call of Duty: MW3,rtx30506gb,ryzen95900x,26.3
RTX 4090,Ryzen 5 1600,6.8,1920x1080,High,True,High,FSR,Ultra Quality,Unreal Engine 5,Borderlands 4,rtx4090,ryzen51600,12.3
GTX 1080 Ti,Ryzen 9 5900X,7.2,2560x1440,Low,False,None,FSR,Performance,CryEngine,Kingdom Come: Deliverance 2,gtx1080ti,ryzen95900x,36.4
RX 6600 XT,Ryzen 9 5950X,5.5,1920x1080,High,True,High,None,None,REDengine 3,The Witcher 3,rx6600xt,ryzen95950x,10.3
RTX 2070 SUPER,Ryzen 7 5800H,3.0,1920x1080,Ultra,False,None,None,None,Custom,World of Warcraft,rtx2070super,ryzen75800h,31.7
RTX 4060,Ryzen 5 1600,8.5,2560x1440,High,False,None,FSR,Balanced,REDengine 4,Cyberpunk 2077,rtx4060,ryzen51600,16.3
RX 9060,Ryzen 5 5500U,2.2,1920x1080,Ultra,False,None,None,None,Custom,Hades II,rx9060,ryzen55500u,57.0
RTX 5080,Ryzen 7 5800H,6.8,1920x1080,High,False,None,None,None,Unreal Engine 4,Star Wars Jedi: Survivor,rtx5080,ryzen75800h,34.5
RTX 5070,Ryzen 7 5700G,5.0,2560x1440,High,True,Medium,None,None,RE Engine,Resident Evil 4 Remake,rtx5070,ryzen75700g,11.5
RTX 4060 Ti 16 GB,Ryzen 3 1200,4.8,1920x1080,High,False,None,None,None,Unreal Engine 5,Palworld,rtx4060ti16gb,ryzen31200,36.5
RTX 5070,Ryzen 5 PRO 5650U,6.8,3840x2160,High,True,Low,None,None,Unreal Engine 4,Star Wars Jedi: Survivor,rtx5070,ryzen5pro5650u,6.3
GTX 1660 SUPER,Ryzen 5 1600,1.6,1280x720,High,False,None,None,None,Custom,Hades,gtx1660super,ryzen51600,127.7
GTX 1080,Ryzen 9 5950X,9.0,1920x1080,Medium,False,None,FSR,Quality,Northlight,Alan Wake 2,gtx1080,ryzen95950x,21.7
RX 6600,Ryzen 9 5950X,1.8,1920x1080,High,False,None,None,None,Source 2,CS2,rx6600,ryzen95950x,74.3
RTX 5080,Ryzen 7 5700U,2.8,1280x720,High,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,rtx5080,ryzen75700u,139.6
GTX 1080,Ryzen 7 5700U,1.4,1280x720,Medium,False,None,None,None,Custom,Sims 4,gtx1080,ryzen75700u,195.8
RTX 5060,Ryzen 3 1200,2.2,2560x1440,Medium,False,None,None,None,Source 2,Dota 2,rtx5060,ryzen31200,53.0
GTX 1660 Ti,Ryzen 7 5700G,7.5,1280x720,High,False,None,FSR,Performance,AnvilNext 2.0,Assassin's Creed Shadows,gtx1660ti,ryzen75700g,49.3
GTX 1050 Ti,Ryzen 9 3900X,4.5,1280x720,Medium,False,None,FSR,Performance,IW Engine,Call of Duty: MW3,gtx1050ti,ryzen93900x,71.5
RTX 2080,Ryzen 5 PRO 5650U,8.5,3840x2160,Medium,False,None,FSR,Quality,REDengine 4,Cyberpunk 2077,rtx2080,ryzen5pro5650u,8.4
RTX 2060 SUPER,Ryzen 7 5700G,3.6,2560x1440,High,False,None,None,None,Unreal Engine 4,PUBG,rtx2060super,ryzen75700g,21.9
RX 6700 XT,Ryzen 5 1600,2.5,1920x1080,High,False,None,None,None,Custom,Overwatch 2,rx6700xt,ryzen51600,54.3
RTX 5070,Ryzen 9 3900X,1.5,3840x2160,Ultra,False,None,None,None,Unreal Engine 4,Valorant,rtx5070,ryzen93900x,29.6
RTX 4060,Ryzen 3 1200,2.2,1920x1080,Ultra,False,None,None,None,Source 2,Dota 2,rtx4060,ryzen31200,55.0
RTX 2070,Ryzen 9 5950X,3.5,1280x720,Low,False,None,None,None,RAGE,GTA V,rtx2070,ryzen95950x,110.1
RTX 3090,Ryzen 7 5700G,5.5,1920x1080,High,False,None,None,None,Unreal Engine 4,Ready or Not,rtx3090,ryzen75700g,34.9
GTX 1050 Ti,Ryzen 9 5950X,5.5,3840x2160,Ultra,False,None,FSR,Performance,Unreal Engine 4,Ready or Not,gtx1050ti,ryzen95950x,5.3
RX 9070,Ryzen 9 3900X,4.0,1280x720,High,False,None,FSR,Quality,Unreal Engine 5,Fortnite,rx9070,ryzen93900x,104.8
RX 6800 XT,Ryzen 9 5900X,4.5,1280x720,Medium,False,None,FSR,Balanced,IW Engine,Call of Duty: MW3,rx6800xt,ryzen95900x,126.0
RX 9060 XT 16 GB,Ryzen 7 5700G,2.6,3840x2160,High,False,None,None,None,Custom (Unity),Genshin Impact,rx9060xt16gb,ryzen75700g,22.7
GTX 1080,Ryzen 7 5700G,1.8,1920x1080,High,False,None,None,None,Unreal Engine 4,Fall Guys,gtx1080,ryzen75700g,64.1
GTX 960,Ryzen 5 5500U,2.2,1280x720,Ultra,False,None,None,None,Source 2,Dota 2,gtx960,ryzen55500u,42.2
RTX 2070 SUPER,Ryzen 5 1600,6.0,1280x720,Medium,True,Low,FSR,Ultra Quality,Unreal Engine 5,The Finals,rtx2070super,ryzen51600,37.2
RTX 5070,Ryzen 7 5800H,3.5,3840x2160,High,False,None,None,None,RAGE,GTA V,rtx5070,ryzen75800h,16.0
RTX 4070 SUPER,Ryzen 7 5700G,5.5,2560x1440,Medium,True,Medium,FSR,Ultra Quality,Frostbite,Battlefield 2042,rtx4070super,ryzen75700g,15.0
RTX 5070 Ti,Ryzen 5 PRO 5650U,2.8,2560x1440,Medium,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,rtx5070ti,ryzen5pro5650u,57.0
GTX 750 Ti,Ryzen 9 5900X,1.6,2560x1440,High,False,None,None,None,Unreal Engine 3,Rocket League,gtx750ti,ryzen95900x,20.7
RTX 2080,Ryzen 9 3900X,5.2,3840x2160,Medium,False,None,None,None,Autodesk Stingray,Helldivers 2,rtx2080,ryzen93900x,11.9
RX 9070 XT,Ryzen 9 5950X,5.8,3840x2160,Ultra,True,Medium,FSR,Balanced,Insomniac Engine,Spider-Man Remastered,rx9070xt,ryzen95950x,8.0
RTX 4080,Ryzen 7 5800H,2.5,1280x720,Low,False,None,None,None,Custom,Overwatch 2,rtx4080,ryzen75800h,184.8
RTX 3070,Ryzen 9 5900X,6.8,1920x1080,Ultra,False,None,FSR,Balanced,Unreal Engine 4,Star Wars Jedi: Survivor,rtx3070,ryzen95900x,27.6
GTX 1660,Ryzen 3 1200,4.5,3840x2160,Medium,False,None,None,None,Custom,Diablo 4,gtx1660,ryzen31200,9.0
GTX 1650 SUPER,Ryzen 3 1200,7.2,1920x1080,Low,False,None,FSR,Quality,CryEngine,Kingdom Come: Deliverance 2,gtx1650super,ryzen31200,27.1
RX 5500 XT,Ryzen 7 5700U,7.8,3840x2160,High,False,None,None,None,id Tech 7,Indiana Jones and the Great Circle,rx5500xt,ryzen75700u,4.9
GTX 780 Ti,Ryzen 5 5500U,7.8,1920x1080,High,False,None,FSR,Quality,id Tech 7,Indiana Jones and the Great Circle,gtx780ti,ryzen55500u,16.8
